20150601 041400;1.091650;1.091870;1.091600;1.091650;0
20150601 041500;1.091690;1.091930;1.091660;1.091880;0
20150601 041600;1.091890;1.091930;1.091820;1.091910;0
20150601 041700;1.091900;1.092030;1.091840;1.091990;0
20150601 041800;1.091980;1.092030;1.091540;1.091790;0
20150601 041900;1.091810;1.092020;1.091710;1.091810;0
20150601 042000;1.091820;1.091820;1.091760;1.091770;0
20150601 042100;1.091760;1.091790;1.091610;1.091640;0
20150601 042200;1.091650;1.092450;1.091650;1.092330;0
20150601 042300;1.092350;1.092430;1.092240;1.092330;0
20150601 042400;1.092340;1.092540;1.092320;1.092340;0
20150601 042500;1.092350;1.092580;1.092340;1.092440;0
20150601 042600;1.092440;1.092750;1.092440;1.092620;0
20150601 042700;1.092620;1.092620;1.092330;1.092440;0
20150601 042800;1.092430;1.092540;1.092260;1.092270;0
20150601 042900;1.092290;1.092300;1.092060;1.092110;0
20150601 043000;1.092110;1.092120;1.091600;1.091680;0
20150601 043100;1.091630;1.091740;1.090850;1.091030;0
20150601 043200;1.091040;1.091090;1.090660;1.090790;0
20150601 043300;1.090780;1.091120;1.090680;1.090940;0
20150601 043400;1.090940;1.091100;1.090520;1.090560;0
20150601 043500;1.090600;1.090600;1.090220;1.090320;0
20150601 043600;1.090310;1.090700;1.090160;1.090670;0
20150601 043700;1.090660;1.090680;1.090180;1.090200;0
20150601 043800;1.090190;1.090210;1.089700;1.090110;0
20150601 043900;1.090130;1.090340;1.089860;1.090040;0
20150601 044000;1.090010;1.090240;1.089740;1.090160;0
20150601 044100;1.090210;1.090340;1.089870;1.089890;0
20150601 044200;1.089930;1.090190;1.089930;1.089950;0
20150601 044300;1.089940;1.089940;1.089530;1.089870;0
20150601 044400;1.089850;1.089930;1.089600;1.089930;0
20150601 044500;1.089930;1.090100;1.089880;1.090070;0
20150601 044600;1.090110;1.090230;1.090030;1.090030;0
20150601 044700;1.090020;1.090190;1.089890;1.090170;0
20150601 044800;1.090160;1.090350;1.090070;1.090330;0
20150601 044900;1.090340;1.090490;1.090210;1.090220;0
20150601 045000;1.090190;1.090250;1.089770;1.089970;0
20150601 045100;1.089960;1.090070;1.089690;1.089920;0
20150601 045200;1.089930;1.090100;1.089820;1.090040;0
20150601 045300;1.090040;1.090070;1.089700;1.089730;0
20150601 045400;1.089720;1.089850;1.089610;1.089850;0
20150601 045500;1.089830;1.089840;1.089610;1.089620;0
20150601 045600;1.089630;1.089810;1.089530;1.089750;0
20150601 045700;1.089760;1.089890;1.089670;1.089710;0
20150601 045800;1.089690;1.090140;1.089650;1.089960;0
20150601 045900;1.089950;1.090090;1.089720;1.089720;0
20150601 050000;1.089790;1.089800;1.089130;1.089270;0
20150601 050100;1.089330;1.089530;1.089130;1.089340;0
20150601 050200;1.089330;1.089670;1.089330;1.089560;0
20150601 050300;1.089580;1.089860;1.089560;1.089770;0
20150601 050400;1.089770;1.089970;1.089760;1.089760;0
20150601 050500;1.089790;1.089890;1.089730;1.089880;0
20150601 050600;1.089870;1.090360;1.089870;1.090280;0
20150601 050700;1.090290;1.090300;1.090050;1.090260;0
20150601 050800;1.090230;1.090490;1.090230;1.090280;0
20150601 050900;1.090280;1.090470;1.090020;1.090120;0
20150601 051000;1.090110;1.090110;1.089840;1.089920;0
20150601 051100;1.089920;1.090180;1.089910;1.089970;0
20150601 051200;1.090000;1.090170;1.089960;1.090030;0
20150601 051300;1.090020;1.090340;1.089920;1.090310;0
20150601 051400;1.090300;1.090420;1.089950;1.090320;0
20150601 051500;1.090310;1.090550;1.090220;1.090400;0
20150601 051600;1.090370;1.090430;1.090230;1.090320;0
20150601 051700;1.090320;1.090450;1.090170;1.090420;0
20150601 051800;1.090420;1.090470;1.090270;1.090450;0
20150601 051900;1.090440;1.090440;1.089930;1.090030;0
20150601 052000;1.090020;1.090250;1.089930;1.090240;0
20150601 052100;1.090250;1.090350;1.090100;1.090100;0
20150601 052200;1.090060;1.090140;1.089930;1.090000;0
20150601 052300;1.090010;1.090370;1.089940;1.090360;0
20150601 052400;1.090360;1.090660;1.090350;1.090590;0
20150601 052500;1.090600;1.090860;1.090530;1.090860;0
20150601 052600;1.090870;1.090980;1.090690;1.090970;0
20150601 052700;1.090970;1.091500;1.090970;1.091420;0
20150601 052800;1.091410;1.091530;1.091120;1.091120;0
20150601 052900;1.091130;1.091260;1.090910;1.091050;0
20150601 053000;1.091060;1.091220;1.090930;1.091140;0
20150601 053100;1.091130;1.091250;1.090880;1.090920;0
20150601 053200;1.090930;1.091180;1.090930;1.091020;0
20150601 053300;1.091040;1.091060;1.090750;1.090830;0
20150601 053400;1.090820;1.090890;1.090720;1.090850;0
20150601 053500;1.090840;1.091540;1.090840;1.091350;0
20150601 053600;1.091410;1.091450;1.091070;1.091130;0
20150601 053700;1.091120;1.091250;1.091120;1.091140;0
20150601 053800;1.091130;1.091320;1.091000;1.091250;0
